code,treaty_status
DZA,ratification
AGO,ratification
BEN,ratification
BWA,ratification
BFA,ratification
BDI,ratification
CPV,ratification
CMR,ratification
CAF,signature
TCD,ratification
COM,ratification
COG,ratification
CIV,ratification
COD,ratification
DJI,signature
EGY,signature
GNQ,accession
ERI,signature
SWZ,ratification
ETH,ratification
GAB,ratification
GMB,ratification
GHA,ratification
GIN,ratification
GNB,ratification
KEN,ratification
LSO,ratification
LBR,signature
LBY,ratification
MDG,accession
MWI,ratification
MLI,ratification
MRT,ratification
MUS,ratification
MAR,ratification
MOZ,ratification
NAM,ratification
NER,ratification
NGA,ratification
RWA,ratification
STP,signature
SEN,ratification
SYC,ratification
SLE,signature
SOM,signature
SOL,signature
ZAF,ratification
SDN,signature
TGO,ratification
TUN,ratification
UGA,signature
TZA,ratification
ZMB,ratification
ZWE,ratification
SAH,ratification
