name,code,treaty_status
Brazil,BRA,ratified
Argentina,ARG,ratified
Antigua and Barbuda, ATG,ratified
Bahamas,BHS,ratified
Barbados,BRB,ratified
Belize,BLZ,,ratified
Bolivia,BOL,ratified
Chile,CHL,ratified
Colombia,COL,ratified
Costa Rica,CRI,ratified
Cuba,CUB,ratified
Dominica,DMA,ratified
Dominican Republic,DOM,ratified
Ecuador,ECU,ratified
El Salvador,SLV,ratified
Grenada,GRD,ratified
Guatemala,GTM,ratified
Guyana,GUY,ratified
Haiti,HTI,ratified
Honduras,HND,ratified
Jamaica,JAM,ratified
Mexico,MEX,ratified
Nicaragua,NIC,ratified
Panama,PAN,ratified
Paraguay,PRY,ratified
Peru,PER,ratified
St. Kitts and Nevis,KNA,ratified
St. Lucia,LCA,ratified
St. Vincent and the Grenadines,VCT,ratified
Suriname,SUR,ratified
Trinidad and Tobago,TTO,ratified
Uruguay,URY,ratified
Venezuela,VEN,ratified
