name,code,treaty_status
Morocco,MAR,proposed
Algeria,DZA,proposed
Tunisia,TUN,proposed
Libya,LBY,proposed
Egypt,EGY,proposed
Sudan,SDN,proposed
South Sudan,SDS,proposed
Palestine,PSX,proposed
Israel,ISR,proposed
Lebanon,LBN,proposed
Syria,SYR,proposed
Jordam,JOR,proposed
Iraq,IRQ,proposed
Saudi Arabia,SAU,proposed
United Arab Emirates,ARE,proposed
Kuwait,KWT,proposed
Kuwait,KWT,proposed
Iran,IRN,proposed
Bahrain,BHR,proposed
Qatar,QAT,proposed
Oman,OMN,proposed
Yemen,YEM,proposed
